YY;HCI;NINO34;TPI;SOI;PDO;SAM
1970;0.836666667;NA;-0.4915;-0.355;-0.415833333;-0.409166667
1971;1.094166667;NA;-1.174416667;-0.930833333;-1.3425;-0.568333333
1972;0.495833333;NA;0.472;0.775;-1.168333333;-0.9975
1973;1.040833333;NA;-0.684333333;-0.650833333;-1.184166667;0.388333333
1974;0.570833333;NA;-0.8965;-0.945;-0.375;-0.248333333
1975;1.011666667;NA;-1.096;-1.045;-1.460833333;-0.629166667
1976;0.166666667;NA;0.002416667;-0.085833333;-0.1675;-0.095
1977;0.524166667;NA;0.426333333;0.501666667;0.015833333;-0.754166667
1978;0.171666667;NA;-0.014083333;-0.178333333;0.014166667;0.211666667
1979;-0.835833333;NA;0.1815;0.186666667;0.07;0.569166667
1980;-0.499166667;NA;0.308416667;0.140833333;0.251666667;-0.9225
1981;-0.5225;NA;-0.061083333;-0.188333333;0.785833333;-0.24
1982;-0.491666667;1.0225;0.8375;0.915;-0.2475;0.391666667
1983;-0.310833333;0.515;0.944583333;0.445833333;1.186666667;0.433333333
1984;-0.918333333;-0.673333333;-0.25825;-0.72;0.594166667;-0.673333333
1985;-0.401666667;-0.7025;-0.3585;-0.711666667;0;0.506666667
1986;-0.789166667;0.116666667;0.406833333;0.084166667;0.96;-0.306666667
1987;-0.645;1.329166667;1.261583333;1.224166667;1.118333333;-0.231666667
1988;-0.603333333;-1.103333333;-0.668333333;-1.019166667;-0.0775;-0.931666667
1989;-0.555;-0.811666667;-0.699166667;-0.788333333;-0.551666667;0.656666667
1990;-0.64;0.151666667;-0.037416667;0.1775;-0.856666667;-0.336666667
1991;-0.991666667;0.6425;0.376916667;0.5975;-0.933333333;-0.32
1992;-0.5375;0.649166667;0.755333333;0.6225;0.699166667;-0.415
1993;-0.933333333;0.371666667;0.760416667;0.436666667;0.973333333;1.126666667
1994;-0.794166667;0.405;0.427166667;0.381666667;-0.534166667;-0.0475
1995;-0.716666667;-0.198333333;0.071833333;-0.025;0.32;0.366666667
1996;-0.363333333;-0.479166667;-0.226166667;-0.37;0.61;-0.411666667
1997;0.945833333;1.246666667;1.085916667;1.19;1.223333333;0.348333333
1998;0.985833333;-0.144166667;0.028166667;0.0725;-0.450833333;1.598333333
1999;0.5375;-1.181666667;-1.250333333;-1.094166667;-1.7825;1.265833333
2000;0.415833333;-0.889166667;-0.922;-0.8725;-1.130833333;0.2625
2001;0.803333333;-0.251666667;-0.566;-0.336666667;-1.129166667;0.5375
2002;0.656666667;0.736666667;0.180666667;0.589166667;-0.4925;-0.506666667
2003;0.300833333;0.3025;0.217416667;0.239166667;0.32;0.081666667
2004;0.236666667;0.383333333;0.109166667;0.369166667;-0.354166667;0.350833333
2005;0.205;0.119166667;-0.144833333;0.035833333;-0.279166667;0.276666667
2006;0.676666667;0.170833333;0.13575;0.094166667;-0.464166667;0.499166667
2007;1.251666667;-0.525;-0.463916667;-0.56;-0.778333333;-0.27
2008;0.853333333;-0.735;-0.795916667;-0.713333333;-1.7475;0.945833333
2009;0.7625;0.375;0.148583333;0.3525;-1.085;0.12
2010;1.584166667;-0.450833333;-0.617333333;-0.43;-1.148333333;1.154166667
2011;1.5925;-0.83;-1.127666667;-0.848333333;-1.914166667;0.236666667
2012;1.4225;-0.014166667;-0.264166667;-0.031666667;-1.655;0.82
2013;1.094166667;-0.219166667;-0.591416667;-0.221666667;-1.214166667;0.2125
2014;1.395;0.235833333;0.104583333;0.254166667;0.489166667;0.505833333
2015;1.285833333;1.581666667;1.031;1.47;0.945;1.6075
2016;0.660833333;0.385;0.211416667;0.395833333;0.5575;0.758333333
2017;1.275833333;-0.083333333;-0.321333333;-0.2025;-0.1;0.545833333
2018;1.133333333;0.0925;-0.415916667;0.0625;0.1925;0.760833333