YY;Spp;Bt;St;Rt
1992;Bacalao;270.47;167.45;5.932
1993;Bacalao;246.23;149.97;5.378
1994;Bacalao;225.86;130.73;4.602
1995;Bacalao;197.49;109.88;4.282
1996;Bacalao;170.52;95.254;4.654
1997;Bacalao;156.53;85.443;6.45
1998;Bacalao;146.32;75.291;6.509
1999;Bacalao;132.9;65.663;6.364
2000;Bacalao;119.01;57.242;4.223
2001;Bacalao;106.15;51.717;3.783
2002;Bacalao;101.12;46.944;4.101
2003;Bacalao;93.229;43.16;4.096
2004;Bacalao;88.143;41.628;3.609
2005;Bacalao;86.152;41.358;2.633
2006;Bacalao;85.523;41.736;2.72
2007;Bacalao;87.13;42.3;3.343
2008;Bacalao;88.54;42.744;3.615
2009;Bacalao;89.592;43.022;3.601
2010;Bacalao;89.571;42.593;3.315
2011;Bacalao;87.854;41.969;2.792
2012;Bacalao;86.122;41.092;2.429
2013;Bacalao;84.199;40.177;2.627
2014;Bacalao;83.343;40.197;3.125
2015;Bacalao;84.364;40.708;3.766
2016;Bacalao;85.061;40.919;3.923
1978;Congrio_norte;40.729;12.58;5.108
1979;Congrio_norte;36.492;10.528;5.948
1980;Congrio_norte;34.245;9.127;5.689
1981;Congrio_norte;35.012;8.042;8.699
1982;Congrio_norte;38.104;8.111;11.251
1983;Congrio_norte;43.462;8.892;11.083
1984;Congrio_norte;47.314;9.99;8.814
1985;Congrio_norte;49.28;11.446;7.627
1986;Congrio_norte;50.573;12.118;7.485
1987;Congrio_norte;48.324;11.225;7.029
1988;Congrio_norte;43.01;8.882;6.528
1989;Congrio_norte;36.881;6.103;6.273
1990;Congrio_norte;29.825;4.625;5.01
1991;Congrio_norte;25.673;4.079;4.236
1992;Congrio_norte;23.345;4.123;4.11
1993;Congrio_norte;23.256;4.515;5.209
1994;Congrio_norte;25.361;4.788;6.621
1995;Congrio_norte;27.061;4.755;6.544
1996;Congrio_norte;28.086;4.767;6.318
1997;Congrio_norte;28.641;4.964;5.739
1998;Congrio_norte;28.486;5.247;5.051
1999;Congrio_norte;27.606;5.458;4.488
2000;Congrio_norte;26.245;5.627;4.021
2001;Congrio_norte;25.379;5.679;4.373
2002;Congrio_norte;24.434;5.825;4.28
2003;Congrio_norte;24.403;5.726;4.191
2004;Congrio_norte;23.955;5.183;4.449
2005;Congrio_norte;22.661;5.328;4.417
2006;Congrio_norte;23.455;5.409;4.278
2007;Congrio_norte;22.979;5.509;3.733
2008;Congrio_norte;22.377;5.871;3.288
2009;Congrio_norte;22.291;6.033;3.134
2010;Congrio_norte;21.245;6.004;2.91
2011;Congrio_norte;20.345;6.18;3.067
2012;Congrio_norte;20.007;6.316;2.467
2013;Congrio_norte;19.035;6.512;1.826
2014;Congrio_norte;17.745;6.915;1.078
2015;Congrio_norte;16.779;7.113;0.821
2016;Congrio_norte;15.931;7.099;1.572
2017;Congrio_norte;17.337;6.845;4.363
1978;Congrio_sur;26.878;9.164;2.222
1979;Congrio_sur;23.839;8.662;2.496
1980;Congrio_sur;22.814;8.64;2.599
1981;Congrio_sur;24.222;8.087;4.485
1982;Congrio_sur;25.118;7.117;5.2
1983;Congrio_sur;25.045;6.314;4.54
1984;Congrio_sur;25.615;5.974;5.272
1985;Congrio_sur;26.683;6.105;5.384
1986;Congrio_sur;27.617;6.598;4.825
1987;Congrio_sur;28.432;6.856;4.376
1988;Congrio_sur;28.157;6.13;4.283
1989;Congrio_sur;25.08;5.404;3.547
1990;Congrio_sur;22.235;4.199;2.889
1991;Congrio_sur;17.914;3.689;2.326
1992;Congrio_sur;15.678;3.449;1.981
1993;Congrio_sur;14.214;3.373;2.075
1994;Congrio_sur;13.758;3.345;2.378
1995;Congrio_sur;13.361;3.145;2.04
1996;Congrio_sur;12.261;3.214;1.52
1997;Congrio_sur;12.109;3.253;1.638
1998;Congrio_sur;11.998;3.224;1.94
1999;Congrio_sur;12.033;3.154;2.103
2000;Congrio_sur;12.096;2.973;2.112
2001;Congrio_sur;11.864;3.122;2.008
2002;Congrio_sur;12.235;3.033;1.748
2003;Congrio_sur;11.673;3;1.687
2004;Congrio_sur;11.287;2.915;1.49
2005;Congrio_sur;10.614;2.942;1.363
2006;Congrio_sur;10.141;2.85;1.095
2007;Congrio_sur;9.253;2.634;0.925
2008;Congrio_sur;8.146;2.45;0.717
2009;Congrio_sur;7.221;2.176;0.592
2010;Congrio_sur;6.119;1.924;0.484
2011;Congrio_sur;5.311;1.703;0.503
2012;Congrio_sur;4.613;1.309;0.404
2013;Congrio_sur;3.565;1.237;0.297
2014;Congrio_sur;3.363;1.299;0.25
2015;Congrio_sur;3.448;1.31;0.443
2016;Congrio_sur;3.829;1.303;0.936
2017;Congrio_sur;4.995;1.352;1.829
1978;Merluza_3A;658.381;407.129;209.998
1979;Merluza_3A;653.307;404.748;201.862
1980;Merluza_3A;650.944;402.488;210.265
1981;Merluza_3A;653.581;399.311;239.631
1982;Merluza_3A;666.212;396.91;301.986
1983;Merluza_3A;700.065;396.913;397.028
1984;Merluza_3A;764.661;401.639;547.397
1985;Merluza_3A;799.801;412.937;346.103
1986;Merluza_3A;861.486;433.246;505.434
1987;Merluza_3A;936.837;463.64;541.432
1988;Merluza_3A;1056.33;497.294;851.725
1989;Merluza_3A;1129.46;537.664;535.748
1990;Merluza_3A;1209.1;586.545;619.239
1991;Merluza_3A;1333.03;646.115;813.514
1992;Merluza_3A;1367.58;703.503;415.411
1993;Merluza_3A;1406.74;749.318;497.826
1994;Merluza_3A;1389.25;796.794;281.084
1995;Merluza_3A;1382.71;800.285;377.737
1996;Merluza_3A;1266.87;763.558;168.797
1997;Merluza_3A;1140.12;709.32;178.434
1998;Merluza_3A;1025.84;645.349;229.949
1999;Merluza_3A;912.016;579.163;197.872
2000;Merluza_3A;840.72;513.214;332.689
2001;Merluza_3A;747.694;452.003;131.524
2002;Merluza_3A;660.795;400.202;124.478
2003;Merluza_3A;589.883;354.2;109.984
2004;Merluza_3A;511.163;308.53;86.913
2005;Merluza_3A;438.637;268.488;99.523
2006;Merluza_3A;388.136;231.88;102.888
2007;Merluza_3A;329.478;196.179;55.224
2008;Merluza_3A;281.154;162.633;65.106
2009;Merluza_3A;246.229;132.536;109.478
2010;Merluza_3A;223.229;108.235;148.493
2011;Merluza_3A;200.327;92.638;78.347
2012;Merluza_3A;197.33;81.544;135.737
2013;Merluza_3A;188.142;75.707;91.905
2014;Merluza_3A;190.771;73.318;153.02
2015;Merluza_3A;190.106;73.675;93.935
2016;Merluza_3A;182.246;77.426;68.352
2017;Merluza_3A;188.652;84.499;98.5003
1979;Raya_volantin_SUP;21.033;5.191;0.929
1980;Raya_volantin_SUP;21.041;5.243;0.776
1981;Raya_volantin_SUP;21.023;5.288;0.777
1982;Raya_volantin_SUP;20.915;5.327;0.778
1983;Raya_volantin_SUP;20.705;5.358;0.779
1984;Raya_volantin_SUP;20.383;5.386;0.78
1985;Raya_volantin_SUP;19.982;5.375;0.781
1986;Raya_volantin_SUP;19.381;5.383;0.78
1987;Raya_volantin_SUP;18.824;5.381;0.781
1988;Raya_volantin_SUP;18.225;5.362;0.781
1989;Raya_volantin_SUP;17.61;5.267;0.78
1990;Raya_volantin_SUP;16.85;5.147;0.778
1991;Raya_volantin_SUP;16.193;5.024;0.775
1992;Raya_volantin_SUP;15.742;4.873;0.772
1993;Raya_volantin_SUP;15.428;4.707;0.768
1994;Raya_volantin_SUP;15.429;4.422;0.763
1995;Raya_volantin_SUP;15.137;4.051;0.754
1996;Raya_volantin_SUP;14.843;3.695;0.741
1997;Raya_volantin_SUP;14.768;3.322;0.727
1998;Raya_volantin_SUP;14.613;3.117;0.709
1999;Raya_volantin_SUP;15.042;2.921;0.698
2000;Raya_volantin_SUP;15.302;2.628;0.687
2001;Raya_volantin_SUP;15.122;2.317;0.667
2002;Raya_volantin_SUP;14.563;2.086;0.643
2003;Raya_volantin_SUP;14.104;1.536;0.622
2004;Raya_volantin_SUP;11.762;1.277;0.556
2005;Raya_volantin_SUP;10.662;1.119;0.514
2006;Raya_volantin_SUP;10.133;0.975;0.483
2007;Raya_volantin_SUP;9.383;0.852;0.451
2008;Raya_volantin_SUP;8.817;0.813;0.42
2009;Raya_volantin_SUP;8.704;0.774;0.409
2010;Raya_volantin_SUP;8.302;0.724;0.398
2011;Raya_volantin_SUP;7.807;0.746;0.383
2012;Raya_volantin_SUP;7.534;0.844;0.389
2013;Raya_volantin_SUP;7.757;0.94;0.418
2014;Raya_volantin_SUP;7.767;1.103;0.442
2015;Raya_volantin_SUP;8.057;1.293;0.48
2016;Raya_volantin_SUP;8.292;1.403;0.516
1985;Merluza_cola;1259;649;1946
1986;Merluza_cola;1351;564;3367
1987;Merluza_cola;1472;585;2457
1988;Merluza_cola;1505;596;2031
1989;Merluza_cola;1572;582;2288
1990;Merluza_cola;1463;510;2234
1991;Merluza_cola;1479;510;1908
1992;Merluza_cola;1440;488;2181
1993;Merluza_cola;1247;430;3494
1994;Merluza_cola;1465;457;3967
1995;Merluza_cola;1721;542;2611
1996;Merluza_cola;1761;614;5657
1997;Merluza_cola;1429;555;2329
1998;Merluza_cola;1720;707;1947
1999;Merluza_cola;1520;702;2111
2000;Merluza_cola;1143;578;974
2001;Merluza_cola;1064;498;711
2002;Merluza_cola;928;497;933
2003;Merluza_cola;757;333;613
2004;Merluza_cola;656;264;830
2005;Merluza_cola;594;213;1071
2006;Merluza_cola;568;170;1020
2007;Merluza_cola;519;181;861
2008;Merluza_cola;517;166;762
2009;Merluza_cola;533;164;950
2010;Merluza_cola;483;143;621
2011;Merluza_cola;434;135;793
2012;Merluza_cola;432;135;865
2013;Merluza_cola;426;123;584
2014;Merluza_cola;428;148;576
2015;Merluza_cola;430;169;1042
2016;Merluza_cola;459;201;1139
2017;Merluza_cola;535;218;1269
1977;Merluza_sur;1064.12;444.194;175.068
1978;Merluza_sur;1060.95;418.309;176.367
1979;Merluza_sur;1013.75;374.4;170.46
1980;Merluza_sur;970.46;345.257;173.409
1981;Merluza_sur;942.879;321.746;159.213
1982;Merluza_sur;911.21;295.632;143.009
1983;Merluza_sur;873.778;310.57;138.464
1984;Merluza_sur;853.401;296.476;134.655
1985;Merluza_sur;831.178;287.543;145.654
1986;Merluza_sur;810.515;300.613;141.854
1987;Merluza_sur;778.952;257.685;143.219
1988;Merluza_sur;733.249;229.564;139.979
1989;Merluza_sur;680.058;187.946;130.434
1990;Merluza_sur;644.015;193.884;135.998
1991;Merluza_sur;617.567;165.054;138.09
1992;Merluza_sur;606.682;141.538;138.289
1993;Merluza_sur;598.163;141.059;143.347
1994;Merluza_sur;606.831;135.357;144.971
1995;Merluza_sur;612.638;165.242;143.129
1996;Merluza_sur;617.871;158.34;151.19
1997;Merluza_sur;625.855;168.379;152.089
1998;Merluza_sur;634.187;154.011;160.167
1999;Merluza_sur;642.364;157.696;155.725
2000;Merluza_sur;647.582;144.321;154.761
2001;Merluza_sur;650.269;116.439;144.609
2002;Merluza_sur;648.358;156.701;137.511
2003;Merluza_sur;646.122;153.206;130.844
2004;Merluza_sur;637.283;149.647;120.449
2005;Merluza_sur;624.538;148.899;117.516
2006;Merluza_sur;612.744;148.712;113.415
2007;Merluza_sur;597.143;148.375;107.471
2008;Merluza_sur;578.312;147.497;97.17
2009;Merluza_sur;556.531;145.987;86.6269
2010;Merluza_sur;534.399;144.785;90.6193
2011;Merluza_sur;515.102;145.481;93.657
2012;Merluza_sur;501.945;144.483;99.634
2013;Merluza_sur;488.811;142.781;108.06
2014;Merluza_sur;478.881;145.807;103.565
2015;Merluza_sur;480.272;146.56;107.177
2016;Merluza_sur;478.487;141.572;111.352
2017;Merluza_sur;473.806;136.002;112.136
2018;Merluza_sur;473.252;126.802;111.142